"Year","Age","n","n_preg","Smooth_preg_rate","CI95lower","CI95upper","n_estim"
1977,7,NA,NA,0.811092619212255,0.690660702581359,0.891971669106626,57
1978,7,NA,NA,0.805585869838635,0.678175000757673,0.890685369434381,52
1979,7,8,4,0.799308323272462,0.665069592305034,0.888744954861762,48
1980,7,12,9,0.792251027832787,0.65151037824406,0.886090088866765,44
1981,7,17,14,0.784404504834432,0.637668878696862,0.88265137820303,42
1982,7,3,1,0.775759842902604,0.623720748245243,0.878348129992384,40
1983,7,NA,NA,0.766309839963268,0.609843334187928,0.873086308816111,40
1984,7,NA,NA,0.756050185416648,0.596212526321917,0.866756748505424,37
1985,7,1,1,0.744940969690791,0.582512737046856,0.859425062587328,38
1986,7,11,8,0.732736137372287,0.568362698650622,0.850931331066576,37
1987,7,24,15,0.719373329912433,0.554093424841802,0.840973145561404,36
1988,7,19,14,0.704834730495744,0.539689726060658,0.829453944905132,37
1989,7,25,2,0.689111158644196,0.525117309374954,0.816285380915195,38
1990,7,10,6,0.672204555714238,0.510319582635526,0.801399078255363,40
1991,7,29,18,0.654130449345071,0.495214381435796,0.78476152530506,42
1992,7,32,21,0.634920267967979,0.479691168040901,0.766391653555844,42
1993,7,35,16,0.614623350383424,0.463609767172578,0.746379610644143,45
1994,7,40,33,0.593308478023017,0.446802423414991,0.724903723851255,46
1995,7,16,14,0.571064753847198,0.429081711672339,0.702240956714314,48
1996,7,37,24,0.548001666390624,0.410257075595349,0.678765083983023,52
1997,7,36,26,0.524248213175052,0.390161586660342,0.65492773597134,54
1998,7,36,21,0.499951014788283,0.368687093989955,0.63122168814061,56
1999,7,59,35,0.475271426065307,0.345820809033015,0.608132838255077,56
2000,7,42,29,0.4503605518421,0.32167337480545,0.586051039346823,54
2001,7,39,26,0.424929459667889,0.294988119822662,0.566145159550323,51
2002,7,71,30,0.398972186465156,0.265571525628546,0.549266970128321,45
2003,7,90,57,0.372692358406071,0.234431897324975,0.535461735572397,39
2004,7,77,23,0.346309260777638,0.202707557621608,0.524693110464713,33
2005,7,86,54,0.32005163285584,0.171560764899215,0.516877813792908,27
2006,7,119,57,0.294150462410813,0.142060769727392,0.511911991589342,23
2007,7,84,62,0.268831242220492,0.115079033846381,0.50968835497465,18
2008,7,61,43,0.244306238847374,0.0912178343968272,0.51010552160475,16
2009,7,105,59,0.220767348147285,0.0707846185990228,0.513071611845793,13
2010,7,114,35,0.198380064956252,0.053811775003976,0.518503903655156,11
2011,7,153,30,0.177278981723825,0.0401102740753071,0.526325855575716,9
2012,7,12,5,0.157565070391563,0.0293399951615106,0.5364623665317,7
2013,7,10,6,0.13930481963144,0.021080273711493,0.548833847648488,6
2014,7,78,65,0.122531123941778,0.0148891694385844,0.563349535540975,5
2015,7,19,15,0.107245676422464,0.0103461259724408,0.579900449365898,4
2016,7,130,77,0.093379059418257,0.00709801933404163,0.597413983263264,3
2017,7,53,28,0.0808561737180344,0.0048238800412606,0.614862865269621,3
2018,7,NA,NA,0.0696337321811927,0.00324857383692925,0.632190786057504,2
1952,8,NA,NA,0.955143613724798,0.857718178105291,0.986878899150689,37
1953,8,NA,NA,0.951390001860311,0.856858253566467,0.984613407197966,40
1954,8,33,29,0.947425692342736,0.856212292503888,0.981993670357831,47
1955,8,NA,NA,0.943244068344909,0.855630886375884,0.978992902317007,52
1956,8,NA,NA,0.938833735751692,0.854939323220596,0.975593745241118,58
1957,8,NA,NA,0.934185923667783,0.854083239153824,0.97176882687946,66
1958,8,NA,NA,0.929291060991018,0.853007420800539,0.967494921787889,75
1959,8,NA,NA,0.924138668353439,0.85165508104037,0.962754545154648,85
1960,8,NA,NA,0.918717248352412,0.849966988159134,0.957537638874555,99
1961,8,NA,NA,0.913014175126016,0.847880446478833,0.951843273810694,110
1962,8,NA,NA,0.90701558446275,0.845328127773305,0.945681271113657,127
1963,8,NA,NA,0.900706265821881,0.842236757010233,0.939073626416182,142
1964,8,25,22,0.89406955789091,0.838525664656178,0.932055605803327,165
1965,8,109,96,0.887087249634953,0.834105232652528,0.924676374115173,187
1966,8,49,43,0.879739489214365,0.828875283870975,0.916999017368133,203
1967,8,123,109,0.872004703677298,0.822723496366669,0.909099835866718,221
1968,8,55,48,0.863859532988459,0.815523963458411,0.901066818245069,249
1969,8,165,146,0.855278782748421,0.807136065483763,0.892997265438345,254
1970,8,107,92,0.84624061510187,0.797301806875978,0.885067044137508,258
1971,8,NA,NA,0.836843266781506,0.786210402813551,0.877355130132675,249
1972,8,NA,NA,0.827148341926167,0.774458730324916,0.869601438341636,245
1973,8,NA,NA,0.817178025161176,0.762054561153059,0.861846460024616,227
1974,8,NA,NA,0.806957697642186,0.749023661754269,0.854123059684784,214
1975,8,NA,NA,0.796515802428236,0.735412115107198,0.846454519825952,201
1976,8,NA,NA,0.785883654642098,0.721287463429413,0.838853420502553,188
1977,8,NA,NA,0.775095199664459,0.706738444699436,0.831321428698098,172
1978,8,NA,NA,0.764186724492698,0.691873329178842,0.823849892971578,160
1979,8,8,4,0.753196529116644,0.676817075311994,0.816421009181271,146
1980,8,12,9,0.742164566224775,0.661707662039525,0.809009276194765,136
1981,8,17,14,0.73113205867152,0.646692000788082,0.801582990109059,124
1982,8,3,1,0.720141104847531,0.631921803026431,0.794105599899033,116
1983,8,NA,NA,0.709234282364104,0.61754970979928,0.786536831293099,108
1984,8,NA,NA,0.698454260283191,0.603725905714285,0.778833555220867,104
1985,8,1,1,0.687843429516947,0.590595358174566,0.770950423405033,102
1986,8,11,8,0.677419555161995,0.576502250160773,0.764127901138066,96
1987,8,24,15,0.667078589501058,0.561705432087333,0.758031329015667,88
1988,8,19,14,0.656834933665396,0.548098607526433,0.751280088498232,83
1989,8,25,2,0.646727223563607,0.535700940700733,0.743896647119366,81
1990,8,10,6,0.636794168538444,0.524506405691514,0.735916111084664,80
1991,8,29,18,0.62707427601813,0.514486534676428,0.727387722012878,80
1992,8,32,21,0.61760559842211,0.505593069934323,0.718376317906529,81
1993,8,35,16,0.608425507981236,0.497760259843472,0.708963726032183,82
1994,8,40,33,0.599570504023067,0.490906624001594,0.69925005475213,85
1995,8,16,14,0.591076056032816,0.484936069321767,0.689354871682264,89
1996,8,37,24,0.582976484489356,0.479738268019984,0.679418295285524,93
1997,8,36,26,0.575304880150993,0.475188212115062,0.669602084109103,98
1998,8,36,21,0.568093061178007,0.471144842250072,0.660090877266857,105
1999,8,59,35,0.561371566269067,0.467448621551038,0.651093809378609,115
2000,8,42,29,0.55516968088581,0.463917910842906,0.642846766175782,119
2001,8,39,26,0.549515492660479,0.460344050974772,0.635615506558753,125
2002,8,71,30,0.544391868995571,0.457543540154533,0.628621667805033,129
2003,8,90,57,0.539718854429371,0.455894103380284,0.621355376813296,137
2004,8,77,23,0.535520481767003,0.454917082683092,0.614310084773838,152
2005,8,86,54,0.531825200201616,0.454249587679043,0.607892309236238,162
2006,8,119,57,0.528660980753751,0.453494197149621,0.602550099799753,172
2007,8,84,62,0.526055367702367,0.45224156629478,0.598747682208043,177
2008,8,61,43,0.524035534039397,0.450107946466994,0.596924595556378,176
2009,8,105,59,0.522628335196886,0.446776955545933,0.597450217752967,168
2010,8,114,35,0.521860354489739,0.442026930100877,0.600592455808399,150
2011,8,153,30,0.521757932886055,0.435730898282554,0.606513417158672,131
2012,8,12,5,0.522347174855412,0.42783314763102,0.61528764623135,110
2013,8,10,6,0.523653921155445,0.418318264682513,0.626926448560528,87
2014,8,78,65,0.525703678514304,0.407186684468887,0.64139376709394,68
2015,8,19,15,0.52852149528495,0.394442031066225,0.658608202142618,54
2016,8,130,77,0.532131771346232,0.380088937496014,0.678432967918535,42
2017,8,53,28,0.536557989897199,0.3641379146899,0.700658547855158,33
2018,8,NA,NA,0.541610502065344,0.347284670791682,0.72405224266287,26
